Quarter,Month,Production_School,Production_Workshop,Residential_Apartment,Residential_Library,Service_Factory,Service_House,State,City
Q1,,54.76,0.46,89.30,38.65,19.01,69.71,,
,  April,65.70,16.89,97.85,49.87,32.46,84.28,California,Berkeley
,  July,54.76,0.46,89.30,38.65,19.01,69.71,California,Berkeley
,  March,59.73,12.62,92.44,40.22,28.56,75.32,Nevada,Berkeley
Q2,,56.11,3.10,90.92,38.79,20.61,72.35,,
,  August,65.05,17.67,97.55,51.05,33.51,85.23,Nevada,Los-Angeles
,  June,62.36,12.69,93.31,46.79,29.41,80.01,California,Los-Angeles
,  September,56.11,3.10,90.92,38.79,20.61,72.35,Nevada,Los-Angeles
Q3,,53.38,0.87,88.71,36.04,19.54,68.68,,
,  August,53.38,0.87,88.71,36.04,19.54,68.68,Nevada,Boulder City
,  January,56.76,10.48,92.66,40.43,27.94,74.00,California,Boulder City
,  May,63.70,14.20,95.37,48.86,32.77,81.17,Nevada,Boulder City
Minimum,,53.38,0.46,88.71,36.04,19.01,68.68,,
,  ,53.38,0.46,88.71,36.04,19.01,68.68,,
