Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Temperature,31-40,0.69
2019,Wind,11-20,2.24
2019,Temperature,21-30,26.05
2019,Wind,Calm,4.16
2019,Temperature,Breeze,2.41
2019,Wind,Storm,2.19
2016,Temperature,31-40,9.45
2016,Wind,11-20,11.41
2016,Temperature,21-30,12.13
2016,Wind,Calm,13.49
2016,Temperature,Breeze,12.69
2016,Wind,Storm,15.26
2015,Temperature,31-40,12.41
2015,Wind,11-20,17.81
2015,Temperature,21-30,17.12
2015,Wind,Calm,22.97
2015,Temperature,Breeze,22.79
2015,Wind,Storm,26.55
