Polluted element,Type of pollution,Maryland_Baltimore_2019,Maryland_Reno_2018,Nevada_Aberdeen_2021,Nevada_Boulder City_2017,Nevada_Columbia_2017,Average
Air,,17.50,-20.30,-31.31,-9.69,-15.49,-11.86
,  Groundwater,81.48,38.91,-64.07,19.51,-28.63,9.44
,  Inferior Irrigation,-40.15,-75.59,68.66,-98.01,-4.53,-29.92
,  Inorganic Fertilizers,-51.62,-94.69,-68.71,16.55,-7.48,-41.19
,  Light,80.29,50.18,-61.14,23.20,-21.31,14.24
Soil,,47.76,-87.23,-2.60,18.88,-28.91,-10.42
,  Chemical,-48.64,-81.04,-65.48,20.97,-27.67,-40.37
,  Inferior Irrigation,72.01,-95.38,53.95,12.11,-37.23,1.09
,  Noise,88.20,-77.91,-60.94,24.72,-17.81,-8.75
,  Urban Activities,79.47,-94.58,62.07,17.74,-32.94,6.35
Water,,17.28,-21.49,63.88,21.49,6.95,17.62
,  Industrial,73.73,34.77,60.67,14.50,-36.94,29.35
,  Oxygen-depletion,83.70,49.46,62.45,22.19,-26.28,38.30
,  Surface water,-49.30,-94.13,63.27,18.60,98.51,7.39
,  Thermal,-39.02,-76.08,69.13,30.68,-7.50,-4.56
Average,,27.51,-43.01,9.99,10.23,-12.48,-1.55
,  ,27.51,-43.01,9.99,10.23,-12.48,-1.55
