Polluted element,Type of pollution,Maryland_Columbia_2016,Maryland_Las Vegas_2016,Maryland_Rochester_2017,Minnesota_Aberdeen_2017,Minnesota_Hastings_2016,Nevada_Baltimore_2016,Nevada_Reno_2017
Air,,11.76,-19.61,65.36,30.90,-72.09,55.36,-41.73
,  Light,12.50,-22.00,87.06,24.90,-75.06,54.35,-39.29
,  Solid Waste,2.43,-25.03,84.23,28.58,-80.71,49.90,-47.42
,  Surface water,19.80,-12.50,95.06,36.80,-60.69,59.83,-38.61
,  Urban Activities,12.29,-18.92,-4.93,33.31,-71.89,57.36,-41.61
Soil,,10.03,-21.85,63.81,30.93,-75.72,52.78,-42.68
,  Inferior Irrigation,10.38,-21.47,-6.80,31.32,-74.08,53.32,-44.04
,  Inorganic Fertilizers,2.87,-28.94,83.54,26.77,-83.13,48.42,-48.63
,  Oxygen-depletion,15.48,-13.30,91.84,35.35,-67.00,57.19,-37.51
,  Thermal,11.38,-23.69,86.65,30.28,-78.66,52.18,-40.52
Water,,13.44,-16.99,66.31,33.33,-69.06,57.07,-33.86
,  Chemical,15.14,-14.83,86.56,32.33,-69.02,54.20,-39.03
,  Groundwater,20.66,-11.88,97.68,37.31,-59.82,63.47,-7.93
,  Industrial,12.30,-17.00,-4.25,33.80,-69.22,60.80,-44.95
,  Noise,5.65,-24.24,85.26,29.89,-78.19,49.81,-43.55
