Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,School,Q4,November,0.93
Service,School,Q2,December,2.69
Service,School,Q1,May,2.15
Service,School,Q4,April,5.89
Service,School,Q2,February,6.85
Service,School,Q1,March,7.97
Residential,Administration,Q4,November,15.36
Residential,Administration,Q2,December,17.94
Residential,Administration,Q1,May,18.71
Residential,Administration,Q4,April,17.45
Residential,Administration,Q2,February,20.77
Residential,Administration,Q1,March,25.53
Culture,House,Q4,November,32.72
Culture,House,Q2,December,34.71
Culture,House,Q1,May,35.15
Culture,House,Q4,April,34.96
Culture,House,Q2,February,38.32
Culture,House,Q1,March,40.17
Service,Apartment,Q4,November,41.86
Service,Apartment,Q2,December,43.44
Service,Apartment,Q1,May,44.2
Service,Apartment,Q4,April,46.34
Service,Apartment,Q2,February,47.26
Service,Apartment,Q1,March,49.99
Residential,Hotel,Q4,November,50.17
Residential,Hotel,Q2,December,49.03
Residential,Hotel,Q1,May,58.63
Residential,Hotel,Q4,April,61.15
Residential,Hotel,Q2,February,62.14
Residential,Hotel,Q1,March,62.29
Culture,Theatre,Q4,November,66.05
Culture,Theatre,Q2,December,72.94
Culture,Theatre,Q1,May,75.64
Culture,Theatre,Q4,April,77.56
Culture,Theatre,Q2,February,78.63
Culture,Theatre,Q1,March,79.48
Service,Concert,Q4,November,80.48
Service,Concert,Q2,December,81.92
Service,Concert,Q1,May,82.66
Service,Concert,Q4,April,86.01
Service,Concert,Q2,February,92.81
Service,Concert,Q1,March,92.43
Residential,Museum,Q4,November,93.17
Residential,Museum,Q2,December,94.1
Residential,Museum,Q1,May,96.76
Residential,Museum,Q4,April,97.59
Residential,Museum,Q2,February,97.99
Residential,Museum,Q1,March,95.87
