Characteristic,Intensity,2015_Illinois_Flint,2015_Illinois_Springfield,2020_Michigan_Champaign,2020_Michigan_Malibu,2021_California_Chicago,2021_California_Los-Angeles,2021_California_Port Huron
Maximum,,17.48,24.45,26.95,11.77,18.94,4.93,23.62
,  ,17.48,24.45,26.95,11.77,18.94,4.93,23.62
Temperature,,17.48,23.65,26.64,11.77,13.18,4.93,23.62
,  21-30,11.43,0.52,26.64,9.59,4.87,1.98,20.27
,  Calm,17.48,2.11,25.41,11.77,1.90,4.93,23.62
,  Storm,13.14,23.65,25.24,4.91,13.18,1.53,15.52
Wind,,14.43,24.45,26.95,9.97,18.94,4.65,22.48
,  11-20,7.70,8.54,26.91,9.97,18.94,4.65,22.48
,  Breeze,14.43,23.43,26.95,7.22,16.40,2.07,20.54
,  Calm,12.01,24.45,24.52,6.42,12.09,0.91,11.87
