Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2020,Cereals,Oats,386.71
Import,2020,Meat,Seeds,264.68
Import,2020,Dairy,Rice,265.18
Import,2020,Cereals,Duck,525.4
Import,2020,Meat,Chicken,910.52
Import,2020,Dairy,Pork,666.09
Import,2020,Cereals,Cream,29.54
Import,2020,Meat,Butter,161.99
Import,2020,Dairy,Oats,168.14
Import,2015,Cereals,Oats,424.18
Import,2015,Meat,Seeds,686.25
Import,2015,Dairy,Rice,687.24
Import,2015,Cereals,Duck,818.94
Import,2015,Meat,Chicken,565.68
Import,2015,Dairy,Pork,826.32
Import,2015,Cereals,Cream,830.34
Import,2015,Meat,Butter,193.25
Import,2015,Dairy,Oats,69.6
Import,2020,Cereals,Oats,843.05
Import,2020,Meat,Seeds,209.06
Import,2020,Dairy,Rice,87.71
Import,2020,Cereals,Duck,343.5
Import,2020,Meat,Chicken,868.55
Import,2020,Dairy,Pork,623.08
Import,2020,Cereals,Cream,881.46
Import,2020,Meat,Butter,758.28
Import,2020,Dairy,Oats,632.8
