Polluted element,Type of pollution,Michigan_Flint_2017,Michigan_Las Vegas_2017,Michigan_Redmond_2017,Nevada_Boulder City_2015,Nevada_Salem_2015,Oregon_Detroit_2018,Oregon_Portland_2018,Oregon_Reno_2018
Air,,-89.13,-16.83,29.52,-62.86,50.24,81.39,8.91,-37.83
,  Chemical,-76.62,-6.96,34.82,-51.18,64.94,94.99,15.79,-28.37
,  Inorganic Fertilizers,-92.60,-16.68,29.98,-66.20,47.35,75.94,7.46,-40.13
,  Light,-98.94,-29.73,20.75,-72.39,38.14,72.47,0.47,-50.92
,  Surface water,-88.36,-13.93,32.52,-61.69,50.53,82.15,11.93,-31.90
Soil,,-87.42,-14.16,29.32,-60.75,55.90,59.33,10.56,-34.89
,  Inferior Irrigation,-91.16,-15.71,30.63,-62.36,50.89,76.55,9.32,-33.60
,  Light,-76.04,-3.64,36.21,-50.00,64.01,-0.31,17.22,-29.22
,  Oxygen-depletion,-87.93,-14.94,29.31,-58.51,62.81,87.97,14.48,-30.26
,  Thermal,-94.57,-22.37,21.13,-72.12,45.88,73.13,1.21,-46.50
Water,,-84.42,-12.62,31.23,-59.21,58.39,61.10,12.19,-34.02
,  Groundwater,-77.31,-10.42,34.30,-56.23,64.34,93.61,14.50,-29.05
,  Noise,-94.04,-21.15,22.21,-67.74,46.87,74.78,2.86,-45.69
,  Solid Waste,-92.64,-16.79,31.95,-61.93,51.66,82.96,11.65,-33.31
,  Thermal,-73.68,-2.14,36.45,-50.93,70.69,-6.95,19.74,-28.03
Average,,-86.99,-14.54,30.02,-60.94,54.84,67.27,10.55,-35.58
,  ,-86.99,-14.54,30.02,-60.94,54.84,67.27,10.55,-35.58
