Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,School,Q4,December,Florida,Fort Lauderdale,3.77
Service,School,Q2,November,Florida,Tampa,6.7
Service,School,Q4,June,Florida,Fort Lauderdale,7.82
Service,School,Q2,April,Florida,Tampa,8.81
Service,School,Q4,May,Florida,Fort Lauderdale,12.66
Service,School,Q2,December,Florida,Tampa,14.86
Production,Administration,Q4,December,Florida,Fort Lauderdale,22.88
Production,Administration,Q2,November,Florida,Tampa,24.37
Production,Administration,Q4,June,Florida,Fort Lauderdale,27.37
Production,Administration,Q2,April,Florida,Tampa,27.64
Production,Administration,Q4,May,Florida,Fort Lauderdale,29.39
Production,Administration,Q2,December,Florida,Tampa,36.78
Residential,Factory,Q4,December,Florida,Fort Lauderdale,36.77
Residential,Factory,Q2,November,Florida,Tampa,40.09
Residential,Factory,Q4,June,Florida,Fort Lauderdale,41.36
Residential,Factory,Q2,April,Florida,Tampa,45.19
Residential,Factory,Q4,May,Florida,Fort Lauderdale,46.48
Residential,Factory,Q2,December,Florida,Tampa,47.22
Service,Workshop,Q4,December,Florida,Fort Lauderdale,49.56
Service,Workshop,Q2,November,Florida,Tampa,52.95
Service,Workshop,Q4,June,Florida,Fort Lauderdale,57.61
Service,Workshop,Q2,April,Florida,Tampa,59.41
Service,Workshop,Q4,May,Florida,Fort Lauderdale,60.27
Service,Workshop,Q2,December,Florida,Tampa,60.54
Production,Hotel,Q4,December,Florida,Fort Lauderdale,62.05
Production,Hotel,Q2,November,Florida,Tampa,65.68
Production,Hotel,Q4,June,Florida,Fort Lauderdale,67.65
Production,Hotel,Q2,April,Florida,Tampa,69.84
Production,Hotel,Q4,May,Florida,Fort Lauderdale,72.65
Production,Hotel,Q2,December,Florida,Tampa,74.25
Residential,House,Q4,December,Florida,Fort Lauderdale,76.53
Residential,House,Q2,November,Florida,Tampa,78.19
Residential,House,Q4,June,Florida,Fort Lauderdale,80.83
Residential,House,Q2,April,Florida,Tampa,80.71
Residential,House,Q4,May,Florida,Fort Lauderdale,84.28
Residential,House,Q2,December,Florida,Tampa,85.5
Service,Apartment,Q4,December,Florida,Fort Lauderdale,87.72
Service,Apartment,Q2,November,Florida,Tampa,89.56
Service,Apartment,Q4,June,Florida,Fort Lauderdale,90.76
Service,Apartment,Q2,April,Florida,Tampa,89.07
Service,Apartment,Q4,May,Florida,Fort Lauderdale,96.87
Service,Apartment,Q2,December,Florida,Tampa,96.36
