Characteristic,Intensity,2015_California_Los-Angeles,2015_Illinois_Champaign,2016_California_Chicago,2016_Illinois_Berkeley,2021_Illinois_Springfield
Maximum,,26.02,6.80,11.99,27.35,18.58
,  ,26.02,6.80,11.99,27.35,18.58
Humidity,,26.02,6.80,10.58,26.16,18.58
,  21-30,15.31,2.96,7.23,26.16,14.36
,  Low,22.32,2.79,10.58,5.76,16.09
,  Medium,26.02,6.80,10.56,7.66,18.58
Temperature,,25.61,4.56,11.99,27.35,16.11
,  0-10,19.34,0.41,7.83,27.35,11.30
,  31-40,4.74,2.06,9.55,25.44,10.11
,  High,25.61,4.56,11.99,0.11,16.11
