Quarter,Month,Production_Hotel,Production_Workshop,Residential_Apartment,Residential_Factory
Q1,,24.41,73.62,7.16,60.37
,  February,34.39,83.65,9.09,64.20
,  June,40.98,95.32,16.42,74.62
,  November,24.41,73.62,7.16,60.37
Q2,,18.14,74.25,2.62,42.61
,  June,18.14,75.45,2.62,42.61
,  March,37.75,90.11,9.21,67.97
,  October,27.73,74.25,8.26,60.17
Q4,,23.99,75.12,6.77,50.52
,  April,23.99,75.12,6.77,50.52
,  December,32.16,79.08,9.41,63.86
,  January,39.55,91.39,14.61,73.23
Minimum,,18.14,73.62,2.62,42.61
,  ,18.14,73.62,2.62,42.61
