Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Wind,Calm,0.41
2021,Temperature,Storm,0.79
2021,Wind,21-30,3.05
2021,Temperature,31-40,6.97
2021,Wind,11-20,6.95
2021,Temperature,Calm,8.28
2022,Wind,Calm,9.16
2022,Temperature,Storm,11.04
2022,Wind,21-30,15.72
2022,Temperature,31-40,17.81
2022,Wind,11-20,17.47
2022,Temperature,Calm,18.11
2019,Wind,Calm,20.55
2019,Temperature,Storm,21.0
2019,Wind,21-30,21.89
2019,Temperature,31-40,20.97
2019,Wind,11-20,21.61
2019,Temperature,Calm,26.48
