Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2016,Q3,Traffic,Serious,64.92
Female,2016,Q3,Fire,Slight,33.84
Female,2022,Q2,Traffic,Serious,99.58
Female,2022,Q2,Fire,Slight,70.89
Female,2017,Q3,Traffic,Serious,74.67
Female,2017,Q3,Fire,Slight,10.04
Female,2016,Q2,Traffic,Serious,10.32
Female,2016,Q2,Fire,Slight,13.87
Female,2022,Q3,Traffic,Serious,47.52
Female,2022,Q3,Fire,Slight,63.25
Female,2017,Q2,Traffic,Serious,94.53
Female,2017,Q2,Fire,Slight,63.49
