Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Apartment,Q2,June,1.78
Residential,Apartment,Q4,May,3.13
Residential,Apartment,Q1,April,3.28
Residential,Apartment,Q2,October,4.05
Residential,Apartment,Q4,November,6.11
Residential,Apartment,Q1,February,5.82
Residential,Apartment,Q2,January,13.64
Residential,Apartment,Q4,March,18.72
Residential,Apartment,Q1,June,20.39
Service,Hotel,Q2,June,20.05
Service,Hotel,Q4,May,22.1
Service,Hotel,Q1,April,20.84
Service,Hotel,Q2,October,21.09
Service,Hotel,Q4,November,29.31
Service,Hotel,Q1,February,31.23
Service,Hotel,Q2,January,34.16
Service,Hotel,Q4,March,35.36
Service,Hotel,Q1,June,35.78
Residential,Library,Q2,June,37.7
Residential,Library,Q4,May,38.78
Residential,Library,Q1,April,38.84
Residential,Library,Q2,October,46.79
Residential,Library,Q4,November,51.43
Residential,Library,Q1,February,51.5
Residential,Library,Q2,January,55.32
Residential,Library,Q4,March,59.21
Residential,Library,Q1,June,62.4
Service,School,Q2,June,65.9
Service,School,Q4,May,65.21
Service,School,Q1,April,65.96
Service,School,Q2,October,69.94
Service,School,Q4,November,69.55
Service,School,Q1,February,69.95
Service,School,Q2,January,77.52
Service,School,Q4,March,81.17
Service,School,Q1,June,82.29
Residential,Hospital,Q2,June,82.43
Residential,Hospital,Q4,May,84.77
Residential,Hospital,Q1,April,85.5
Residential,Hospital,Q2,October,93.16
Residential,Hospital,Q4,November,93.56
Residential,Hospital,Q1,February,96.29
Residential,Hospital,Q2,January,96.94
Residential,Hospital,Q4,March,99.28
Residential,Hospital,Q1,June,99.64
