Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,House,Q4,December,0.3
Residential,House,Q3,October,2.53
Residential,House,Q4,November,4.54
Residential,House,Q3,September,11.44
Residential,House,Q4,July,18.51
Residential,House,Q3,August,19.84
Service,Apartment,Q4,December,24.14
Service,Apartment,Q3,October,25.1
Service,Apartment,Q4,November,28.78
Service,Apartment,Q3,September,30.15
Service,Apartment,Q4,July,37.71
Service,Apartment,Q3,August,37.33
Culture,Hospital,Q4,December,39.77
Culture,Hospital,Q3,October,43.04
Culture,Hospital,Q4,November,44.09
Culture,Hospital,Q3,September,45.31
Culture,Hospital,Q4,July,45.65
Culture,Hospital,Q3,August,49.07
Residential,Administration,Q4,December,56.26
Residential,Administration,Q3,October,58.85
Residential,Administration,Q4,November,59.24
Residential,Administration,Q3,September,58.57
Residential,Administration,Q4,July,64.43
Residential,Administration,Q3,August,65.0
Service,School,Q4,December,67.05
Service,School,Q3,October,67.28
Service,School,Q4,November,69.16
Service,School,Q3,September,73.21
Service,School,Q4,July,74.17
Service,School,Q3,August,76.6
Culture,Museum,Q4,December,78.46
Culture,Museum,Q3,October,87.24
Culture,Museum,Q4,November,88.79
Culture,Museum,Q3,September,88.4
Culture,Museum,Q4,July,89.87
Culture,Museum,Q3,August,91.3
Residential,Concert,Q4,December,92.18
Residential,Concert,Q3,October,87.72
Residential,Concert,Q4,November,88.72
Residential,Concert,Q3,September,92.29
Residential,Concert,Q4,July,99.05
Residential,Concert,Q3,August,99.9
