Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2021,Florida,Fort Lauderdale,Temperature,31-40,0.31
2021,Florida,Fort Lauderdale,Humidity,11-20,0.53
2021,Florida,Fort Lauderdale,Wind,21-30,1.7
2021,Florida,Fort Lauderdale,Temperature,High,3.29
2021,Florida,Fort Lauderdale,Humidity,Medium,3.82
2021,Florida,Fort Lauderdale,Wind,Low,5.37
2021,Florida,Fort Lauderdale,Temperature,Calm,5.98
2021,Florida,Fort Lauderdale,Humidity,Storm,7.32
2021,Florida,Fort Lauderdale,Wind,31-40,6.27
2017,Maryland,Tampa,Temperature,31-40,9.67
2017,Maryland,Tampa,Humidity,11-20,10.56
2017,Maryland,Tampa,Wind,21-30,11.18
2017,Maryland,Tampa,Temperature,High,9.61
2017,Maryland,Tampa,Humidity,Medium,11.07
2017,Maryland,Tampa,Wind,Low,14.89
2017,Maryland,Tampa,Temperature,Calm,15.61
2017,Maryland,Tampa,Humidity,Storm,16.59
2017,Maryland,Tampa,Wind,31-40,17.34
2020,Florida,Columbia,Temperature,31-40,16.17
2020,Florida,Columbia,Humidity,11-20,16.58
2020,Florida,Columbia,Wind,21-30,20.45
2020,Florida,Columbia,Temperature,High,21.63
2020,Florida,Columbia,Humidity,Medium,19.53
2020,Florida,Columbia,Wind,Low,23.81
2020,Florida,Columbia,Temperature,Calm,24.05
2020,Florida,Columbia,Humidity,Storm,25.3
2020,Florida,Columbia,Wind,31-40,23.42
2021,Maryland,Baltimore,Temperature,31-40,27.53
2021,Maryland,Baltimore,Humidity,11-20,27.43
2021,Maryland,Baltimore,Wind,21-30,26.9
2021,Maryland,Baltimore,Temperature,High,25.65
2021,Maryland,Baltimore,Humidity,Medium,5.01
2021,Maryland,Baltimore,Wind,Low,5.33
2021,Maryland,Baltimore,Temperature,Calm,7.67
2021,Maryland,Baltimore,Humidity,Storm,1.19
2021,Maryland,Baltimore,Wind,31-40,8.18
2017,Florida,Aberdeen,Temperature,31-40,9.99
2017,Florida,Aberdeen,Humidity,11-20,11.61
2017,Florida,Aberdeen,Wind,21-30,14.16
2017,Florida,Aberdeen,Temperature,High,0.18
2017,Florida,Aberdeen,Humidity,Medium,18.52
2017,Florida,Aberdeen,Wind,Low,19.02
2017,Florida,Aberdeen,Temperature,Calm,20.57
2017,Florida,Aberdeen,Humidity,Storm,20.59
2017,Florida,Aberdeen,Wind,31-40,21.96
