Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Humidity,Medium,2.85
2017,Wind,High,6.89
2017,Temperature,Calm,7.63
2017,Humidity,Storm,6.86
2017,Wind,Breeze,27.81
2017,Temperature,0-10,11.38
2017,Humidity,11-20,12.08
2017,Wind,Medium,13.94
2017,Temperature,High,13.86
2019,Humidity,Medium,15.44
2019,Wind,High,14.91
2019,Temperature,Calm,14.89
2019,Humidity,Storm,16.94
2019,Wind,Breeze,19.42
2019,Temperature,0-10,23.73
2019,Humidity,11-20,23.41
2019,Wind,Medium,25.52
2019,Temperature,High,27.84
