Quarter,Month,Culture_Library,Culture_Museum,Culture_Theatre,Service_Concert,Service_Hospital,State,City
Minimum,,78.07,0.64,26.22,14.09,49.26,,
,  ,78.07,0.64,26.22,14.09,49.26,,
Q3,,78.07,0.64,26.22,14.09,49.26,,
,  August,78.07,0.64,26.22,14.09,49.26,Maryland,Baltimore
,  December,96.15,14.70,42.80,26.38,71.44,Maryland,Baltimore
,  September,83.45,8.20,35.45,22.63,68.34,Maryland,Fort Lauderdale
Q4,,81.35,5.47,29.90,16.03,63.83,,
,  August,97.40,15.88,42.24,26.05,75.66,Florida,Aberdeen
,  July,81.35,5.47,29.90,16.03,63.83,Florida,Aberdeen
,  October,93.76,12.13,39.37,22.04,68.15,Florida,Tampa
