Polluted element,Type of pollution,Florida_Columbus_2015,Florida_Fort Lauderdale_2015,Georgia_Albany_2022,Georgia_Springfield_2022,Georgia_Tampa_2022,Illinois_Champaign_2020,Illinois_Washington_2020
Soil,,-42.07,36.26,13.37,6.78,-9.22,21.63,-29.58
,  Inferior Irrigation,64.93,-22.64,24.80,-55.32,-1.33,89.38,-86.76
,  Inorganic Fertilizers,-68.03,-27.56,14.70,74.12,-5.00,-41.31,37.15
,  Oxygen-depletion,-83.40,96.30,3.39,67.54,-16.02,-46.06,29.46
,  Surface water,-81.79,98.93,10.60,-59.23,-14.53,84.52,-98.15
Water,,-11.52,34.45,9.68,5.93,-11.49,85.18,-64.98
,  Chemical,43.84,93.12,2.93,-64.31,-17.56,81.51,24.44
,  Groundwater,47.62,-31.05,7.52,-59.56,-15.59,84.58,-98.89
,  Industrial,-70.67,99.40,11.06,73.55,-8.41,87.42,-95.87
,  Urban Activities,-66.86,-23.66,17.22,74.03,-4.38,87.22,-89.59
