Polluted element,Type of pollution,Michigan_Flint,Michigan_Salem,Oregon_Detroit,Oregon_Portland,Oregon_Redmond
Air,,9.56,-3.54,-22.64,-5.53,17.58
,  Chemical,91.18,-72.24,-18.62,27.95,73.24
,  Noise,-36.01,60.33,-11.49,-99.13,72.95
,  Oxygen-depletion,-50.21,-99.17,-31.90,5.81,64.40
,  Thermal,83.06,41.48,-27.00,16.54,-61.26
,  Urban Activities,-40.20,51.91,-24.19,21.17,-61.43
Soil,,35.84,24.27,5.14,22.48,17.27
,  Inorganic Fertilizers,-39.94,53.04,-21.53,24.64,-57.14
,  Light,80.44,35.56,99.48,6.93,65.14
,  Oxygen-depletion,92.87,58.88,-18.38,29.94,74.34
,  Solid Waste,-43.73,42.03,-26.77,21.22,66.47
,  Thermal,89.58,-68.15,-7.11,29.66,-62.46
Water,,34.57,-82.24,27.74,17.92,-35.51
,  Chemical,78.58,-95.32,97.78,1.92,-65.88
,  Industrial,89.45,-74.49,-20.31,27.31,65.55
,  Inferior Irrigation,-41.50,-80.94,-24.47,22.84,-60.76
,  Light,93.33,-68.34,-12.02,29.62,-54.33
,  Noise,-47.00,-92.12,97.72,7.91,-62.14
