Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Theatre,Q3,August,Illinois,Chicago,99.85
Culture,Theatre,Q4,September,Illinois,Champaign,72.02
Culture,Theatre,Q3,November,Illinois,Chicago,41.68
Culture,Theatre,Q4,October,Illinois,Champaign,43.58
Production,Museum,Q3,August,Illinois,Chicago,76.58
Production,Museum,Q4,September,Illinois,Champaign,77.4
Production,Museum,Q3,November,Illinois,Chicago,45.46
Production,Museum,Q4,October,Illinois,Champaign,44.3
Culture,Factory,Q3,August,Illinois,Chicago,81.05
Culture,Factory,Q4,September,Illinois,Champaign,52.13
Culture,Factory,Q3,November,Illinois,Chicago,62.93
Culture,Factory,Q4,October,Illinois,Champaign,57.15
Production,Workshop,Q3,August,Illinois,Chicago,58.96
Production,Workshop,Q4,September,Illinois,Champaign,91.91
Production,Workshop,Q3,November,Illinois,Chicago,60.25
Production,Workshop,Q4,October,Illinois,Champaign,62.79
