Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Theatre,Q3,August,1.53
Culture,Theatre,Q2,July,2.6
Culture,Theatre,Q3,May,2.15
Culture,Theatre,Q2,April,4.15
Production,Concert,Q3,August,2.96
Production,Concert,Q2,July,10.91
Production,Concert,Q3,May,10.03
Production,Concert,Q2,April,20.02
Residential,Museum,Q3,August,38.09
Residential,Museum,Q2,July,38.82
Residential,Museum,Q3,May,39.57
Residential,Museum,Q2,April,42.01
Culture,Workshop,Q3,August,42.21
Culture,Workshop,Q2,July,45.29
Culture,Workshop,Q3,May,46.15
Culture,Workshop,Q2,April,47.84
Production,Factory,Q3,August,51.4
Production,Factory,Q2,July,59.13
Production,Factory,Q3,May,60.65
Production,Factory,Q2,April,64.99
Residential,House,Q3,August,68.76
Residential,House,Q2,July,71.33
Residential,House,Q3,May,76.74
Residential,House,Q2,April,78.28
Culture,Hotel,Q3,August,80.31
Culture,Hotel,Q2,July,82.42
Culture,Hotel,Q3,May,95.02
Culture,Hotel,Q2,April,99.41
