Polluted element,Type of pollution,Illinois_Chicago_2017,Illinois_Detroit_2020,Illinois_Hastings_2022,Michigan_Champaign_2022,Michigan_Rochester_2015,Minnesota_Flint_2015,Minnesota_Minneapolis_2017,Minnesota_Springfield_2020,Average
Air,,-63.68,-17.46,30.89,-59.48,52.15,-45.80,11.61,87.26,-0.56
,  Groundwater,-91.92,-21.07,29.41,-61.17,44.87,-52.56,8.61,80.89,-7.87
,  Inorganic Fertilizers,-76.63,-6.94,36.95,-51.46,68.51,-39.51,18.82,96.86,5.83
,  Surface water,-85.81,-11.42,32.78,-57.19,60.86,-42.64,15.57,95.17,0.92
,  Thermal,-0.35,-30.42,24.41,-68.09,34.37,-48.49,3.44,76.12,-1.13
Soil,,-83.07,-11.84,33.72,-56.24,59.27,-42.68,16.07,65.01,-2.47
,  Chemical,-86.12,-14.46,32.44,-59.24,55.81,-43.01,14.00,83.43,-2.14
,  Light,-94.59,-22.56,28.14,-62.14,43.21,-47.81,8.73,79.50,-8.44
,  Solid Waste,-78.76,-7.57,35.62,-53.69,66.14,-48.10,17.89,97.49,3.63
,  Thermal,-72.80,-2.77,38.68,-49.90,71.91,-31.82,23.64,-0.40,-2.93
Water,,-85.85,-16.52,31.33,-57.68,55.40,-43.22,13.30,61.87,-5.17
,  Industrial,-76.33,-5.25,37.68,-50.36,69.91,-38.00,19.85,-7.56,-6.26
,  Inferior Irrigation,-82.63,-8.58,33.03,-53.65,63.54,-43.22,14.36,96.18,2.38
,  Noise,-97.55,-31.36,24.49,-65.87,40.89,-47.55,7.04,78.04,-11.48
,  Oxygen-depletion,-86.90,-20.91,30.13,-60.83,47.27,-44.12,11.94,80.81,-5.33
