Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2017,Florida,Fort Lauderdale,Temperature,11-20,1.4
2017,Florida,Fort Lauderdale,Wind,0-10,2.99
2017,Florida,Fort Lauderdale,Humidity,21-30,2.61
2017,Florida,Fort Lauderdale,Temperature,Breeze,2.46
2017,Florida,Fort Lauderdale,Wind,Storm,1.82
2017,Florida,Fort Lauderdale,Humidity,Calm,3.69
2017,Florida,Fort Lauderdale,Temperature,High,3.73
2017,Florida,Fort Lauderdale,Wind,Low,8.93
2017,Florida,Fort Lauderdale,Humidity,Medium,9.42
2018,Oregon,Tampa,Temperature,11-20,10.4
2018,Oregon,Tampa,Wind,0-10,9.59
2018,Oregon,Tampa,Humidity,21-30,11.05
2018,Oregon,Tampa,Temperature,Breeze,10.21
2018,Oregon,Tampa,Wind,Storm,14.84
2018,Oregon,Tampa,Humidity,Calm,15.4
2018,Oregon,Tampa,Temperature,High,8.32
2018,Oregon,Tampa,Wind,Low,14.29
2018,Oregon,Tampa,Humidity,Medium,18.61
2020,Florida,Salem,Temperature,11-20,17.49
2020,Florida,Salem,Wind,0-10,20.94
2020,Florida,Salem,Humidity,21-30,14.81
2020,Florida,Salem,Temperature,Breeze,22.8
2020,Florida,Salem,Wind,Storm,23.97
2020,Florida,Salem,Humidity,Calm,23.04
2020,Florida,Salem,Temperature,High,25.1
2020,Florida,Salem,Wind,Low,23.8
2020,Florida,Salem,Humidity,Medium,27.83
2017,Oregon,Redmond,Temperature,11-20,24.23
2017,Oregon,Redmond,Wind,0-10,25.34
2017,Oregon,Redmond,Humidity,21-30,21.2
2017,Oregon,Redmond,Temperature,Breeze,6.98
2017,Oregon,Redmond,Wind,Storm,27.37
2017,Oregon,Redmond,Humidity,Calm,8.97
2017,Oregon,Redmond,Temperature,High,8.5
2017,Oregon,Redmond,Wind,Low,3.53
2017,Oregon,Redmond,Humidity,Medium,10.7
2018,Florida,Portland,Temperature,11-20,10.01
2018,Florida,Portland,Wind,0-10,1.2
2018,Florida,Portland,Humidity,21-30,11.93
2018,Florida,Portland,Temperature,Breeze,12.69
2018,Florida,Portland,Wind,Storm,12.07
2018,Florida,Portland,Humidity,Calm,15.61
2018,Florida,Portland,Temperature,High,16.18
2018,Florida,Portland,Wind,Low,16.31
2018,Florida,Portland,Humidity,Medium,1.97
