Polluted element,Type of pollution,Maryland_Aberdeen_2016,Maryland_Baltimore_2016,Maryland_Reno_2016,Nevada_Columbia_2018,Nevada_Las Vegas_2018
Air,Groundwater,60.48,16.89,-26.77,-85.23,83.28
,Industrial,-57.53,-99.51,-11.77,-79.22,-37.45
,Oxygen-depletion,-66.01,23.19,-24.29,-81.97,90.84
,Surface water,-51.94,-87.31,-3.15,-75.57,-32.16
Soil,Industrial,55.94,6.16,97.07,-87.01,-48.60
,Surface water,-68.31,18.43,-25.78,-85.50,87.93
,Thermal,62.97,24.29,-18.78,49.52,90.52
,Urban Activities,-54.62,-93.92,-9.26,-76.04,94.75
Water,Chemical,-67.53,21.01,-24.70,-81.34,-40.30
,Groundwater,-52.68,37.34,-8.13,53.45,95.06
,Light,-62.86,25.66,-11.91,-78.37,-38.36
,Urban Activities,59.88,13.81,-29.47,43.45,-48.95
Average,,-20.18,-7.83,-8.08,-48.65,24.71
