Polluted element,Type of pollution,Minnesota_Portland_2016,Minnesota_Redmond_2019,Minnesota_Rochester_2019,Oregon_Hastings_2017,Oregon_Salem_2022,Average
Soil,,-40.01,-21.88,14.89,-21.98,9.86,-11.82
,  Inorganic Fertilizers,-71.51,-13.43,15.14,46.07,73.55,9.96
,  Oxygen-depletion,-76.66,-38.12,0.49,-94.19,-61.98,-54.09
,  Surface water,-74.81,-27.98,11.05,-88.55,-58.22,-47.70
,  Urban Activities,62.96,-7.99,32.87,48.76,86.09,44.54
Water,,23.24,6.07,10.30,-57.20,6.34,-2.25
,  Chemical,49.70,90.18,-0.91,-95.46,-63.26,-3.95
,  Groundwater,54.36,-27.74,10.20,-93.89,69.10,2.41
,  Inferior Irrigation,56.49,-25.90,14.23,41.80,71.84,31.69
,  Solid Waste,-67.58,-12.27,17.70,-81.23,-52.32,-39.14
