Characteristic,Intensity,2015_Florida_Salem,2015_Florida_Tampa,2015_Nevada_Redmond,2015_Oregon_Boulder City,2016_Florida_Reno,2016_Nevada_Fort Lauderdale,2016_Oregon_Portland
Maximum,,18.83,8.12,11.41,26.63,27.93,15.68,15.46
,  ,18.83,8.12,11.41,26.63,27.93,15.68,15.46
Humidity,,16.56,6.06,7.93,24.22,25.02,15.68,14.82
,  0-10,5.11,6.06,1.78,24.22,25.02,15.68,14.82
,  Calm,16.12,0.94,0.61,14.30,23.85,12.89,13.48
,  Low,16.56,0.75,7.93,18.89,24.14,9.16,12.46
Temperature,,16.11,8.12,10.59,26.63,27.93,10.81,15.46
,  31-40,1.32,8.12,5.59,26.63,27.93,10.81,15.46
,  Medium,16.11,2.08,8.92,20.36,27.92,0.50,0.22
,  Storm,4.96,5.74,10.59,22.92,24.54,5.53,14.01
Wind,,18.83,5.07,11.41,25.83,26.48,13.35,15.11
,  21-30,18.83,5.07,11.41,25.83,25.74,8.29,15.11
,  Breeze,4.80,2.67,9.73,22.18,26.48,13.35,1.29
,  High,16.45,1.16,6.58,11.90,25.88,10.96,12.44
