Quarter,Month,Culture_Concert,Culture_House,Production_Apartment,Production_Factory,Production_Theatre,Residential_Hotel,Residential_Museum,Residential_Workshop
Q1,August,74.47,29.90,20.67,58.45,99.04,5.57,87.01,46.98
,March,67.29,26.59,13.99,53.16,94.10,0.40,81.68,42.95
,November,77.25,28.30,20.26,64.08,96.29,10.90,94.52,49.09
Q3,December,75.28,39.22,19.00,65.82,96.90,11.55,94.00,51.94
,January,69.32,25.73,17.01,54.08,98.69,1.67,82.83,41.53
,July,75.51,26.24,21.92,60.22,99.60,5.12,87.75,47.98
Q4,March,79.12,41.86,25.78,67.59,21.08,12.58,94.63,52.61
,October,75.49,31.69,21.65,61.11,99.52,9.07,90.53,48.50
,September,70.23,25.59,19.85,57.17,99.77,1.30,83.24,45.23
Minimum,,67.29,25.59,13.99,53.16,21.08,0.40,81.68,41.53
