Quarter,Month,Residential_Administration,Residential_Hotel,Service_Apartment,Service_House,Service_School,State,City
Q2,,24.53,59.55,36.23,84.70,7.46,,
,  April,30.15,67.35,43.24,90.56,13.28,Florida,Tampa
,  July,24.53,59.55,36.23,84.70,7.46,Florida,Fort Lauderdale
,  September,30.60,78.39,41.20,98.20,21.07,Florida,Fort Lauderdale
Q3,,23.51,54.33,30.35,81.26,7.64,,
,  August,23.51,54.33,30.35,81.26,7.64,Florida,Fort Lauderdale
,  May,31.64,69.78,44.63,95.80,14.33,Florida,Fort Lauderdale
,  October,27.32,61.33,41.89,85.67,11.74,Florida,Tampa
Q4,,23.45,55.78,35.63,82.36,8.81,,
,  August,32.74,73.41,45.68,98.36,11.31,Florida,Tampa
,  December,29.94,63.68,42.40,88.77,12.04,Florida,Fort Lauderdale
,  September,23.45,55.78,35.63,82.36,8.81,Florida,Tampa
