Polluted element,Type of pollution,Georgia_Albany,Georgia_Columbus,Georgia_Las Vegas,Nevada_Reno,Nevada_Washington
Air,,-17.81,7.27,-13.44,4.72,-44.33
,  Chemical,10.15,-55.57,-12.93,93.37,56.41
,  Industrial,-95.86,77.85,-4.49,-30.57,-66.29
,  Inorganic Fertilizers,3.93,-63.60,-19.40,-43.93,-85.12
,  Thermal,10.53,70.40,-16.92,0.02,-82.31
Soil,,-18.94,5.24,-16.25,-7.72,-15.67
,  Industrial,0.42,65.86,-26.31,-46.52,-89.65
,  Noise,9.09,66.76,-17.02,-41.47,45.93
,  Oxygen-depletion,11.76,-56.99,-14.43,-37.23,-79.74
,  Surface water,-97.02,-54.66,-7.23,94.34,60.77
Water,,-13.06,41.62,-11.98,60.48,-42.83
,  Groundwater,20.40,73.88,-10.10,94.85,-70.14
,  Inorganic Fertilizers,-90.83,-46.91,-1.71,-29.27,-65.02
,  Light,9.91,71.56,-17.84,89.98,-80.45
,  Urban Activities,8.30,67.93,-18.28,86.38,44.31
Average,,-16.60,18.04,-13.89,19.16,-34.27
,  ,-16.60,18.04,-13.89,19.16,-34.27
