Quarter,Month,Culture_Administration,Culture_Concert,Culture_Workshop,Production_Factory,Production_Theatre,Service_Hospital,Service_Museum
Q1,,91.21,1.91,46.33,66.16,17.68,77.27,33.62
,  August,93.89,11.04,61.26,72.82,28.97,88.10,33.62
,  March,91.21,1.91,46.33,66.16,17.68,77.27,34.85
,  November,93.66,3.19,87.35,70.46,22.94,81.75,37.99
Q3,,93.08,3.69,52.40,68.36,20.26,82.63,34.97
,  February,99.05,14.26,64.84,75.57,33.53,90.37,44.91
,  October,93.08,3.69,52.40,68.36,20.26,82.63,34.97
,  September,96.79,11.12,56.34,72.41,27.48,87.15,36.66
Q4,,91.84,2.67,50.38,68.90,17.47,81.10,35.83
,  December,91.84,8.18,56.40,69.44,26.60,86.24,36.72
,  February,92.12,2.67,50.38,68.90,17.47,81.10,35.83
,  March,98.34,13.33,64.66,74.70,31.22,87.31,44.26
