Polluted element,Type of pollution,Minnesota_Hastings_2017,Minnesota_Portland_2017,Minnesota_Salem_2015,Oregon_Redmond_2021,Oregon_Rochester_2019
Average,,20.88,3.18,10.10,24.04,38.34
,  ,20.88,3.18,10.10,24.04,38.34
Air,,29.42,42.07,72.13,-45.01,57.58
,  Light,10.71,99.87,68.19,-50.11,56.01
,  Urban Activities,48.13,-15.74,76.07,-39.91,59.15
Soil,,46.23,-17.22,-53.95,90.34,59.72
,  Surface water,49.38,-7.72,-51.01,97.59,60.57
,  Thermal,43.09,-26.72,-56.88,83.09,58.86
Water,,-13.01,-15.30,12.11,26.79,-2.29
,  Groundwater,55.03,-5.53,78.05,-30.66,-63.52
,  Inferior Irrigation,-81.05,-25.07,-53.83,84.23,58.95
