Polluted element,Type of pollution,Georgia_Baltimore_2015,Georgia_Columbus_2015,Georgia_Washington_2015,Maryland_Aberdeen_2017,Maryland_Albany_2017,Maryland_Columbia_2017,Average
Air,Chemical,43.92,-23.09,-75.34,6.08,-40.82,78.46,-1.80
,Light,61.03,-15.32,-65.76,18.80,-32.44,-97.21,-21.82
,Oxygen-depletion,61.90,-9.86,-57.05,26.56,-31.50,-88.25,-16.37
,Solid Waste,73.16,-2.93,-49.46,34.52,-31.49,-85.97,-10.36
,Urban Activities,51.34,-18.30,-70.85,13.63,-39.55,83.14,3.24
Soil,Chemical,73.30,-6.32,-55.62,32.77,-27.70,-88.72,-12.05
,Industrial,57.76,-15.36,-64.26,16.88,-34.00,-9.62,-8.10
,Inorganic Fertilizers,49.15,-18.00,-71.53,10.95,-39.33,83.68,2.49
,Surface water,43.85,-30.58,-76.05,5.10,-41.91,78.70,-3.48
,Thermal,62.21,-10.85,-61.08,24.22,-31.36,-89.75,-17.77
Water,Inferior Irrigation,49.39,-16.33,-65.90,15.51,-35.92,91.17,6.32
,Noise,62.71,-12.84,-63.09,23.97,-31.25,-97.77,-19.71
,Oxygen-depletion,37.61,-25.92,-80.80,-0.98,-48.78,74.55,-7.39
,Solid Waste,49.14,-21.91,-75.09,6.23,-39.57,83.72,0.42
,Surface water,68.69,-10.84,-56.57,31.56,-29.07,-88.69,-14.15
Average,,56.34,-15.90,-65.90,17.72,-35.65,-4.84,-8.04
