Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,School,Q2,May,California,Berkeley,2.03
Service,School,Q1,June,California,Los-Angeles,2.62
Service,School,Q2,January,California,Berkeley,4.23
Service,School,Q1,February,California,Los-Angeles,11.54
Production,Administration,Q2,May,California,Berkeley,19.87
Production,Administration,Q1,June,California,Los-Angeles,19.37
Production,Administration,Q2,January,California,Berkeley,22.87
Production,Administration,Q1,February,California,Los-Angeles,23.26
Residential,Hospital,Q2,May,California,Berkeley,27.19
Residential,Hospital,Q1,June,California,Los-Angeles,34.12
Residential,Hospital,Q2,January,California,Berkeley,36.17
Residential,Hospital,Q1,February,California,Los-Angeles,37.72
Service,Workshop,Q2,May,California,Berkeley,41.66
Service,Workshop,Q1,June,California,Los-Angeles,42.17
Service,Workshop,Q2,January,California,Berkeley,51.92
Service,Workshop,Q1,February,California,Los-Angeles,51.42
Production,Factory,Q2,May,California,Berkeley,51.86
Production,Factory,Q1,June,California,Los-Angeles,56.36
Production,Factory,Q2,January,California,Berkeley,61.07
Production,Factory,Q1,February,California,Los-Angeles,62.05
Residential,House,Q2,May,California,Berkeley,64.27
Residential,House,Q1,June,California,Los-Angeles,69.42
Residential,House,Q2,January,California,Berkeley,73.08
Residential,House,Q1,February,California,Los-Angeles,73.57
Service,Apartment,Q2,May,California,Berkeley,80.24
Service,Apartment,Q1,June,California,Los-Angeles,87.5
Service,Apartment,Q2,January,California,Berkeley,88.63
Service,Apartment,Q1,February,California,Los-Angeles,91.4
Production,Hotel,Q2,May,California,Berkeley,94.54
Production,Hotel,Q1,June,California,Los-Angeles,95.97
Production,Hotel,Q2,January,California,Berkeley,97.03
Production,Hotel,Q1,February,California,Los-Angeles,99.52
