Polluted element,Type of pollution,Nevada_Portland_2022,Nevada_Reno_2022,Nevada_Salem_2022,Oregon_Las Vegas_2016,Oregon_Redmond_2016,Average
Soil,,-0.85,16.00,-23.69,-88.03,-0.44,-19.40
,  Groundwater,46.45,13.40,-66.93,-88.94,-42.85,-27.77
,  Solid Waste,-19.51,20.38,-60.56,-83.25,86.99,-11.19
,  Urban Activities,-29.47,14.23,56.42,-91.90,-45.45,-19.23
Water,,57.67,11.27,17.43,-6.20,-4.62,15.11
,  Inferior Irrigation,97.91,15.73,64.86,36.53,-42.34,34.54
,  Inorganic Fertilizers,98.65,7.87,-73.76,-92.93,75.57,3.08
,  Surface water,-23.56,10.22,61.18,37.79,-47.09,7.71
Average,,28.41,13.64,-3.13,-47.12,-2.53,-2.15
,  ,28.41,13.64,-3.13,-47.12,-2.53,-2.15
