Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2022,Q1,Drowning,Slight,89.67
Male,2022,Q1,Traffic,Slight,34.81
Male,2022,Q1,Fire,Slight,99.29
Male,2018,Q3,Drowning,Slight,36.11
Male,2018,Q3,Traffic,Slight,37.85
Male,2018,Q3,Fire,Slight,73.77
Male,2016,Q1,Drowning,Slight,73.97
Male,2016,Q1,Traffic,Slight,12.33
Male,2016,Q1,Fire,Slight,81.32
Male,2022,Q3,Drowning,Slight,50.76
Male,2022,Q3,Traffic,Slight,23.27
Male,2022,Q3,Fire,Slight,53.89
Male,2018,Q1,Drowning,Slight,20.8
Male,2018,Q1,Traffic,Slight,23.71
Male,2018,Q1,Fire,Slight,89.06
Male,2016,Q3,Drowning,Slight,60.64
Male,2016,Q3,Traffic,Slight,62.37
Male,2016,Q3,Fire,Slight,31.35
