Polluted element,Type of pollution,Georgia_Hastings,Georgia_Washington,Minnesota_Albany,Minnesota_Rochester
Air,,-11.49,-0.25,-82.35,-1.83
,  Inferior Irrigation,-53.48,-46.58,-82.67,42.48
,  Noise,-52.00,25.43,-77.44,-14.08
,  Urban Activities,70.99,20.40,-86.93,-33.90
Soil,,7.91,19.90,0.64,-4.09
,  Industrial,-60.77,18.80,-88.71,-33.91
,  Oxygen-depletion,9.45,15.80,44.34,41.02
,  Thermal,75.04,25.09,46.28,-19.37
Water,,-59.40,17.43,-44.06,33.73
,  Inorganic Fertilizers,-60.66,14.78,-89.00,-37.48
,  Light,-57.70,24.99,43.43,98.43
,  Surface water,-59.83,12.51,-86.62,40.25
