Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Humidity,Medium,1.39
2019,Wind,Low,2.35
2019,Temperature,Calm,2.29
2019,Humidity,Storm,4.25
2019,Wind,21-30,5.86
2019,Temperature,31-40,4.88
2017,Humidity,Medium,6.06
2017,Wind,Low,2.87
2017,Temperature,Calm,11.54
2017,Humidity,Storm,12.77
2017,Wind,21-30,13.16
2017,Temperature,31-40,16.19
2018,Humidity,Medium,18.23
2018,Wind,Low,19.56
2018,Temperature,Calm,18.61
2018,Humidity,Storm,25.5
2018,Wind,21-30,26.97
2018,Temperature,31-40,27.24
