Quarter,Month,Residential_Apartment,Residential_School,Service_Administration,Service_Hotel,Minimum,State,City
Q1,,80.08,27.28,0.26,60.52,0.26,,
,  December,87.43,38.82,12.16,60.92,12.16,Nevada,Boulder City
,  January,80.08,27.28,0.26,60.52,0.26,Nevada,Boulder City
,  September,92.35,42.50,19.11,74.77,19.11,Nevada,Boulder City
Q3,,85.87,37.47,10.24,63.97,10.24,,
,  August,90.74,41.53,13.01,67.88,13.01,Nevada,Boulder City
,  February,95.33,60.84,27.76,78.86,27.76,Nevada,Boulder City
,  November,85.87,37.47,10.24,63.97,10.24,Nevada,Boulder City
Q4,,85.30,33.22,3.30,62.36,3.30,,
,  February,85.30,33.22,3.30,62.36,3.30,Nevada,Boulder City
,  January,92.39,45.15,27.32,78.09,27.32,Nevada,Boulder City
,  October,90.48,40.22,13.24,66.29,13.24,Nevada,Boulder City
Minimum,,80.08,27.28,0.26,60.52,0.26,,
,  ,80.08,27.28,0.26,60.52,0.26,,
