Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Temperature,21-30,1.32
2020,Wind,31-40,2.1
2020,Humidity,Calm,1.82
2020,Temperature,Breeze,3.02
2020,Wind,Low,3.94
2020,Humidity,Medium,6.85
2020,Temperature,High,6.5
2020,Wind,21-30,9.2
2020,Humidity,31-40,9.69
2017,Temperature,21-30,9.77
2017,Wind,31-40,12.11
2017,Humidity,Calm,13.38
2017,Temperature,Breeze,14.41
2017,Wind,Low,15.63
2017,Humidity,Medium,15.92
2017,Temperature,High,14.59
2017,Wind,21-30,11.79
2017,Humidity,31-40,19.03
2015,Temperature,21-30,20.45
2015,Wind,31-40,20.29
2015,Humidity,Calm,22.6
2015,Temperature,Breeze,22.26
2015,Wind,Low,22.39
2015,Humidity,Medium,25.59
2015,Temperature,High,26.13
2015,Wind,21-30,24.01
2015,Humidity,31-40,0.21
