Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Import,2016,Q1,Dairy,Milk,401.03
Import,2016,Q1,Beverage,Cream,153.02
Import,2016,Q1,Dairy,Tea,797.49
Import,2016,Q1,Beverage,Juice,930.3
Import,2016,Q1,Dairy,Coffee,549.75
Import,2016,Q1,Beverage,Milk,555.93
Import,2020,Q1,Dairy,Milk,683.95
Import,2020,Q1,Beverage,Cream,45.82
Import,2020,Q1,Dairy,Tea,561.4
Import,2020,Q1,Beverage,Juice,562.39
Import,2020,Q1,Dairy,Coffee,691.14
Import,2020,Q1,Beverage,Milk,433.52
Import,2019,Q1,Dairy,Milk,564.03
Import,2019,Q1,Beverage,Cream,52.59
Import,2019,Q1,Dairy,Tea,698.43
Import,2019,Q1,Beverage,Juice,698.89
Import,2019,Q1,Dairy,Coffee,320.76
Import,2019,Q1,Beverage,Milk,200.14
Import,2016,Q1,Dairy,Milk,584.22
Import,2016,Q1,Beverage,Cream,977.52
Import,2016,Q1,Dairy,Tea,852.88
Import,2016,Q1,Beverage,Juice,212.36
Import,2016,Q1,Dairy,Coffee,598.85
Import,2016,Q1,Beverage,Milk,606.03
Import,2020,Q1,Dairy,Milk,742.5
Import,2020,Q1,Beverage,Cream,237.02
Import,2020,Q1,Dairy,Tea,368.25
Import,2020,Q1,Beverage,Juice,890.39
Import,2020,Q1,Dairy,Coffee,508.3
Import,2020,Q1,Beverage,Milk,125.5
