Polluted element,Type of pollution,Maryland_Baltimore_2021,Maryland_Redmond_2018,Oregon_Columbia_2015,Oregon_Salem_2017
Air,Industrial,8.52,-60.49,37.44,-37.75
,Oxygen-depletion,-93.93,-44.78,-71.78,-3.44
,Surface water,4.48,62.44,38.04,-37.82
,Thermal,21.87,-55.77,-80.31,-25.67
Soil,Chemical,1.66,-68.47,37.61,-39.26
,Inferior Irrigation,8.22,63.09,-88.74,-35.25
,Light,-97.40,-45.35,-77.17,-6.78
,Urban Activities,-3.72,70.01,44.20,-31.07
Water,Groundwater,6.48,63.98,-92.61,-36.10
,Noise,29.51,74.10,-80.30,-24.85
,Oxygen-depletion,-0.06,59.49,-93.06,88.19
,Solid Waste,11.13,-60.26,42.93,-35.24
Average,,-8.60,4.83,-31.98,-18.75
