Polluted element,Type of pollution,California_Cambridge_2017,California_Port Huron_2017,Massachusetts_Lenox_2019,Massachusetts_Los-Angeles_2019,Michigan_Boston_2020,Michigan_Detroit_2020,Michigan_San Francisco_2020
Air,Chemical,-77.24,43.45,-45.15,59.87,-15.17,14.66,0.41
,Light,-93.39,27.59,-56.43,54.38,-37.06,1.63,81.84
,Oxygen-depletion,-67.47,51.81,-40.40,76.67,-4.91,18.11,-97.87
,Urban Activities,-91.22,32.19,-57.86,57.85,-23.99,8.41,92.17
Soil,Groundwater,-76.61,42.94,-44.02,64.29,-7.73,15.68,-99.87
,Light,-58.24,52.35,-40.69,77.00,-2.33,24.37,-97.49
,Noise,-92.85,28.27,-56.03,55.42,-27.44,2.11,84.59
,Solid Waste,-80.55,34.14,-49.83,53.40,-23.91,10.26,94.99
Water,Industrial,-79.50,42.79,-47.93,59.99,-17.99,13.13,99.35
,Noise,-58.53,52.89,-40.47,78.42,-1.90,25.18,-95.85
,Surface water,-69.64,47.08,-42.52,76.96,-5.58,15.29,-98.35
,Thermal,-91.48,29.27,-54.63,56.77,-26.85,3.60,86.01
Average,,-78.06,40.40,-48.00,64.25,-16.24,12.70,4.16
