Polluted element,Type of pollution,Michigan_Detroit,Michigan_Minneapolis,Michigan_Port Huron,Minnesota_Flint,Minnesota_Hastings
Air,Chemical,20.02,-23.63,62.43,-85.31,-40.58
,Inferior Irrigation,36.19,-1.40,-54.21,54.28,96.07
,Solid Waste,8.80,-28.65,58.74,-92.90,81.93
,Surface water,30.80,-19.91,68.77,-80.65,91.86
,Urban Activities,-95.50,-12.82,-57.26,-77.24,-37.29
Soil,Inferior Irrigation,8.53,-35.23,-69.34,-87.37,83.25
,Inorganic Fertilizers,-94.14,-8.75,-56.51,52.82,-33.27
,Noise,31.16,-19.99,68.95,48.62,92.90
,Oxygen-depletion,26.62,-24.00,64.35,-85.41,-40.71
,Urban Activities,4.93,95.16,56.15,-92.44,-51.49
Water,Groundwater,28.21,-21.70,65.33,46.38,90.49
,Industrial,16.09,-24.71,-72.88,43.67,-43.51
,Inorganic Fertilizers,4.88,-29.84,57.60,-92.96,80.79
,Light,32.78,-15.73,-60.03,-79.26,-35.45
,Solid Waste,-1.02,-4.49,-57.63,-78.04,-32.91
