Polluted element,Type of pollution,California_Hastings,California_Las Vegas,California_San Francisco,Minnesota_Malibu,Minnesota_Minneapolis,Nevada_Berkeley,Nevada_Boulder City,Nevada_Rochester
Air,Chemical,-66.24,75.04,8.74,51.18,-74.29,32.80,-8.66,-34.64
,Groundwater,-55.39,75.15,10.54,55.90,-75.65,34.60,2.80,-23.46
,Thermal,-55.44,79.04,9.49,58.69,-69.18,36.82,-91.34,-14.67
Soil,Industrial,-58.95,71.09,6.47,49.84,-77.32,28.63,-1.87,-30.97
,Light,-63.06,76.30,9.58,55.19,-71.54,34.24,-99.14,-25.69
,Oxygen-depletion,-64.00,70.62,6.02,48.86,0.04,30.97,91.95,-36.64
Water,Noise,-58.34,77.41,10.97,56.10,-70.06,34.23,-94.31,-18.80
,Surface water,-61.58,69.50,5.81,50.58,-75.34,31.31,98.82,-35.28
,Urban Activities,-56.80,73.30,7.67,53.66,-75.78,29.83,1.78,-25.20
Average,,-59.98,74.16,8.37,53.33,-65.46,32.60,-11.11,-27.26
