Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Humidity,High,4.65
2018,Temperature,Medium,5.11
2018,Humidity,Low,5.37
2018,Temperature,11-20,9.16
2018,Humidity,21-30,9.85
2018,Temperature,31-40,11.67
2019,Humidity,High,13.55
2019,Temperature,Medium,14.18
2019,Humidity,Low,14.34
2019,Temperature,11-20,16.75
2019,Humidity,21-30,16.69
2019,Temperature,31-40,17.07
2021,Humidity,High,16.7
2021,Temperature,Medium,20.01
2021,Humidity,Low,19.1
2021,Temperature,11-20,22.63
2021,Humidity,21-30,23.71
2021,Temperature,31-40,26.56
