Category,Item,Import_2016,Import_2018,Import_2019,Average
Beverage,,602.22,257.04,481.21,446.82
,  Pork,401.53,222.61,68.36,230.83
,  Soda,900.10,339.60,818.76,686.15
,  Yoghurt,505.03,208.91,556.51,423.48
Dairy,,512.80,551.59,563.39,542.59
,  Juice,640.71,82.09,690.83,471.21
,  Lamb,330.97,730.44,699.58,587.00
,  Pork,566.71,842.25,299.77,569.58
Meat,,507.89,292.65,559.82,453.45
,  Coffee,392.09,471.44,54.84,306.12
,  Cream,507.45,209.95,816.74,511.38
,  Lamb,624.14,196.55,807.87,542.86
Average,,540.97,367.09,534.81,480.96
,  ,540.97,367.09,534.81,480.96
