Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2021,Nevada,Reno,Wind,Storm,2.14
2021,Nevada,Reno,Temperature,Breeze,3.31
2021,Nevada,Reno,Wind,21-30,4.72
2021,Nevada,Reno,Temperature,0-10,5.09
2022,Illinois,Boulder City,Wind,Storm,5.77
2022,Illinois,Boulder City,Temperature,Breeze,6.08
2022,Illinois,Boulder City,Wind,21-30,6.35
2022,Illinois,Boulder City,Temperature,0-10,9.34
2016,Georgia,Las Vegas,Wind,Storm,9.4
2016,Georgia,Las Vegas,Temperature,Breeze,11.17
2016,Georgia,Las Vegas,Wind,21-30,3.77
2016,Georgia,Las Vegas,Temperature,0-10,13.22
2021,Nevada,Chicago,Wind,Storm,14.46
2021,Nevada,Chicago,Temperature,Breeze,15.33
2021,Nevada,Chicago,Wind,21-30,15.04
2021,Nevada,Chicago,Temperature,0-10,15.92
2022,Illinois,Springfield,Wind,Storm,18.74
2022,Illinois,Springfield,Temperature,Breeze,19.76
2022,Illinois,Springfield,Wind,21-30,20.38
2022,Illinois,Springfield,Temperature,0-10,21.22
2016,Georgia,Columbus,Wind,Storm,21.19
2016,Georgia,Columbus,Temperature,Breeze,22.05
2016,Georgia,Columbus,Wind,21-30,24.95
2016,Georgia,Columbus,Temperature,0-10,25.14
2021,Nevada,Albany,Wind,Storm,25.68
2021,Nevada,Albany,Temperature,Breeze,27.11
2021,Nevada,Albany,Wind,21-30,27.19
2021,Nevada,Albany,Temperature,0-10,23.99
2022,Illinois,Washington,Wind,Storm,26.82
2022,Illinois,Washington,Temperature,Breeze,24.76
2022,Illinois,Washington,Wind,21-30,7.24
2022,Illinois,Washington,Temperature,0-10,4.12
