Characteristic,Intensity,2018_Nevada_Boulder City,2018_Oregon_Portland,2020_Nevada_Salem,2020_Oregon_Las Vegas,2021_Nevada_Reno
Humidity,,7.80,25.25,7.55,17.97,26.51
,  31-40,5.66,25.25,3.21,14.70,16.07
,  Medium,7.80,10.49,7.55,17.97,26.51
,  Storm,2.94,24.12,3.99,11.80,13.64
Temperature,,7.68,26.39,13.75,16.21,24.04
,  0-10,4.75,26.39,13.75,13.30,21.40
,  Breeze,1.73,26.30,12.99,10.32,19.92
,  Low,7.68,10.73,6.81,16.21,24.04
Wind,,4.52,25.88,11.01,11.82,24.71
,  21-30,3.47,5.85,0.16,11.63,14.08
,  Calm,1.26,25.88,11.01,8.41,12.68
,  High,4.52,9.09,4.62,11.82,24.71
Maximum,,7.80,26.39,13.75,17.97,26.51
,  ,7.80,26.39,13.75,17.97,26.51
