Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2017,Q4,Fire,Slight,68.94
Female,2017,Q4,Traffic,Slight,90.82
Female,2017,Q4,Drowning,Slight,71.71
Female,2018,Q1,Fire,Slight,44.31
Female,2018,Q1,Traffic,Slight,78.35
Female,2018,Q1,Drowning,Slight,14.38
Female,2017,Q4,Fire,Slight,48.37
Female,2017,Q4,Traffic,Slight,17.05
Female,2017,Q4,Drowning,Slight,53.36
Female,2018,Q1,Fire,Slight,90.88
Female,2018,Q1,Traffic,Slight,91.05
Female,2018,Q1,Drowning,Slight,60.9
Female,2017,Q4,Fire,Slight,61.6
Female,2017,Q4,Traffic,Slight,94.07
Female,2017,Q4,Drowning,Slight,31.26
