Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,Hotel,Q3,August,Oregon,Salem,1.58
Residential,Hotel,Q1,July,Illinois,Redmond,14.09
Residential,Hotel,Q3,September,Oregon,Chicago,17.67
Residential,Hotel,Q1,January,Illinois,Springfield,18.3
Residential,Hotel,Q3,March,Oregon,Salem,19.54
Residential,Hotel,Q1,February,Illinois,Redmond,19.3
Production,House,Q3,August,Oregon,Salem,17.29
Production,House,Q1,July,Illinois,Redmond,23.47
Production,House,Q3,September,Oregon,Chicago,27.2
Production,House,Q1,January,Illinois,Springfield,29.52
Production,House,Q3,March,Oregon,Salem,29.93
Production,House,Q1,February,Illinois,Redmond,35.94
Service,Workshop,Q3,August,Oregon,Salem,38.77
Service,Workshop,Q1,July,Illinois,Redmond,41.67
Service,Workshop,Q3,September,Oregon,Chicago,47.01
Service,Workshop,Q1,January,Illinois,Springfield,47.14
Service,Workshop,Q3,March,Oregon,Salem,48.13
Service,Workshop,Q1,February,Illinois,Redmond,50.6
Residential,Factory,Q3,August,Oregon,Salem,53.21
Residential,Factory,Q1,July,Illinois,Redmond,56.2
Residential,Factory,Q3,September,Oregon,Chicago,58.91
Residential,Factory,Q1,January,Illinois,Springfield,59.58
Residential,Factory,Q3,March,Oregon,Salem,61.72
Residential,Factory,Q1,February,Illinois,Redmond,62.73
Production,Administration,Q3,August,Oregon,Salem,64.61
Production,Administration,Q1,July,Illinois,Redmond,72.05
Production,Administration,Q3,September,Oregon,Chicago,74.03
Production,Administration,Q1,January,Illinois,Springfield,77.94
Production,Administration,Q3,March,Oregon,Salem,79.46
Production,Administration,Q1,February,Illinois,Redmond,86.02
Service,Library,Q3,August,Oregon,Salem,87.43
Service,Library,Q1,July,Illinois,Redmond,91.73
Service,Library,Q3,September,Oregon,Chicago,92.46
Service,Library,Q1,January,Illinois,Springfield,93.39
Service,Library,Q3,March,Oregon,Salem,96.1
Service,Library,Q1,February,Illinois,Redmond,97.68
