Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,Apartment,Q3,July,Georgia,Washington,3.75
Residential,Apartment,Q4,August,Georgia,Columbus,8.14
Residential,Apartment,Q2,December,Georgia,Washington,13.74
Residential,Apartment,Q3,October,Georgia,Columbus,14.63
Residential,Apartment,Q4,November,Georgia,Washington,17.4
Residential,Apartment,Q2,April,Georgia,Columbus,17.55
Residential,Apartment,Q3,June,Georgia,Washington,18.91
Residential,Apartment,Q4,May,Georgia,Columbus,20.67
Residential,Apartment,Q2,July,Georgia,Washington,20.83
Service,Hotel,Q3,July,Georgia,Washington,23.43
Service,Hotel,Q4,August,Georgia,Columbus,23.74
Service,Hotel,Q2,December,Georgia,Washington,24.49
Service,Hotel,Q3,October,Georgia,Columbus,26.03
Service,Hotel,Q4,November,Georgia,Washington,31.03
Service,Hotel,Q2,April,Georgia,Columbus,33.95
Service,Hotel,Q3,June,Georgia,Washington,34.65
Service,Hotel,Q4,May,Georgia,Columbus,37.99
Service,Hotel,Q2,July,Georgia,Washington,39.03
Production,House,Q3,July,Georgia,Washington,39.65
Production,House,Q4,August,Georgia,Columbus,41.05
Production,House,Q2,December,Georgia,Washington,45.2
Production,House,Q3,October,Georgia,Columbus,45.97
Production,House,Q4,November,Georgia,Washington,48.04
Production,House,Q2,April,Georgia,Columbus,51.86
Production,House,Q3,June,Georgia,Washington,55.53
Production,House,Q4,May,Georgia,Columbus,57.24
Production,House,Q2,July,Georgia,Washington,58.27
Residential,Hospital,Q3,July,Georgia,Washington,59.8
Residential,Hospital,Q4,August,Georgia,Columbus,60.7
Residential,Hospital,Q2,December,Georgia,Washington,61.29
Residential,Hospital,Q3,October,Georgia,Columbus,62.17
Residential,Hospital,Q4,November,Georgia,Washington,61.16
Residential,Hospital,Q2,April,Georgia,Columbus,66.77
Residential,Hospital,Q3,June,Georgia,Washington,67.13
Residential,Hospital,Q4,May,Georgia,Columbus,68.59
Residential,Hospital,Q2,July,Georgia,Washington,69.08
Service,Library,Q3,July,Georgia,Washington,69.96
Service,Library,Q4,August,Georgia,Columbus,71.45
Service,Library,Q2,December,Georgia,Washington,67.81
Service,Library,Q3,October,Georgia,Columbus,67.86
Service,Library,Q4,November,Georgia,Washington,68.53
Service,Library,Q2,April,Georgia,Columbus,72.27
Service,Library,Q3,June,Georgia,Washington,73.68
Service,Library,Q4,May,Georgia,Columbus,77.53
Service,Library,Q2,July,Georgia,Washington,78.75
Production,Factory,Q3,July,Georgia,Washington,79.3
Production,Factory,Q4,August,Georgia,Columbus,79.17
Production,Factory,Q2,December,Georgia,Washington,81.39
Production,Factory,Q3,October,Georgia,Columbus,83.71
Production,Factory,Q4,November,Georgia,Washington,84.17
Production,Factory,Q2,April,Georgia,Columbus,86.04
Production,Factory,Q3,June,Georgia,Washington,87.81
Production,Factory,Q4,May,Georgia,Columbus,87.2
Production,Factory,Q2,July,Georgia,Washington,88.28
Residential,Workshop,Q3,July,Georgia,Washington,90.79
Residential,Workshop,Q4,August,Georgia,Columbus,87.58
Residential,Workshop,Q2,December,Georgia,Washington,87.3
Residential,Workshop,Q3,October,Georgia,Columbus,94.42
Residential,Workshop,Q4,November,Georgia,Washington,95.04
Residential,Workshop,Q2,April,Georgia,Columbus,95.55
Residential,Workshop,Q3,June,Georgia,Washington,96.53
Residential,Workshop,Q4,May,Georgia,Columbus,98.9
Residential,Workshop,Q2,July,Georgia,Washington,96.51
