Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,Hotel,Q4,December,Oregon,Portland,2.21
Residential,Hotel,Q1,November,Oregon,Salem,11.94
Residential,Hotel,Q4,February,Oregon,Portland,12.03
Residential,Hotel,Q1,March,Oregon,Salem,14.17
Residential,Hotel,Q4,January,Oregon,Portland,15.71
Residential,Hotel,Q1,December,Oregon,Salem,15.87
Production,House,Q4,December,Oregon,Portland,21.85
Production,House,Q1,November,Oregon,Salem,22.99
Production,House,Q4,February,Oregon,Portland,21.34
Production,House,Q1,March,Oregon,Salem,21.02
Production,House,Q4,January,Oregon,Portland,26.91
Production,House,Q1,December,Oregon,Salem,27.06
Residential,Factory,Q4,December,Oregon,Portland,39.73
Residential,Factory,Q1,November,Oregon,Salem,44.7
Residential,Factory,Q4,February,Oregon,Portland,45.47
Residential,Factory,Q1,March,Oregon,Salem,71.5
Residential,Factory,Q4,January,Oregon,Portland,72.65
Residential,Factory,Q1,December,Oregon,Salem,74.92
Production,Workshop,Q4,December,Oregon,Portland,80.46
Production,Workshop,Q1,November,Oregon,Salem,84.39
Production,Workshop,Q4,February,Oregon,Portland,92.56
Production,Workshop,Q1,March,Oregon,Salem,92.57
Production,Workshop,Q4,January,Oregon,Portland,97.27
Production,Workshop,Q1,December,Oregon,Salem,99.93
