Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2017,Q2,Traffic,Slight,90.3
Female,2017,Q2,Drowning,Slight,38.27
Female,2017,Q2,Fire,Slight,39.56
Female,2018,Q4,Traffic,Slight,42.11
Female,2018,Q4,Drowning,Slight,42.95
Female,2018,Q4,Fire,Slight,46.63
Female,2017,Q2,Traffic,Slight,15.11
Female,2017,Q2,Drowning,Slight,16.87
Female,2017,Q2,Fire,Slight,80.87
Female,2018,Q4,Traffic,Slight,50.51
Female,2018,Q4,Drowning,Slight,51.7
Female,2018,Q4,Fire,Slight,86.55
Female,2017,Q2,Traffic,Slight,22.62
Female,2017,Q2,Drowning,Slight,90.32
Female,2017,Q2,Fire,Slight,59.58
