Quarter,Month,Production_Factory,Production_Hotel,Residential_Hospital,Residential_House,Service_Apartment,Service_Library,Service_Workshop,Minimum
Q1,,76.30,41.20,28.41,71.58,55.85,12.09,86.50,12.09
,  April,84.94,53.91,37.62,75.31,63.38,28.09,97.71,28.09
,  March,79.39,47.97,28.41,73.80,60.94,18.95,94.43,18.95
,  May,76.30,41.20,30.00,71.58,55.85,12.09,86.50,12.09
Q2,,76.49,39.74,29.22,70.26,54.25,10.83,84.86,10.83
,  April,76.49,39.74,29.22,70.90,54.25,10.83,84.86,10.83
,  February,79.86,48.31,34.58,74.87,60.03,27.77,94.93,27.77
,  June,76.80,45.58,31.06,70.26,59.81,16.57,88.61,16.57
Minimum,,76.30,39.74,28.41,70.26,54.25,10.83,84.86,10.83
,  ,76.30,39.74,28.41,70.26,54.25,10.83,84.86,10.83
