Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Humidity,Low,1.69
2016,Temperature,High,2.34
2016,Humidity,Medium,3.42
2016,Temperature,21-30,7.08
2016,Humidity,31-40,9.45
2016,Temperature,Low,10.25
2017,Humidity,Low,12.66
2017,Temperature,High,15.88
2017,Humidity,Medium,16.42
2017,Temperature,21-30,17.16
2017,Humidity,31-40,20.65
2017,Temperature,Low,21.58
2022,Humidity,Low,24.06
2022,Temperature,High,23.82
2022,Humidity,Medium,24.96
2022,Temperature,21-30,25.23
2022,Humidity,31-40,25.51
2022,Temperature,Low,25.41
