Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Theatre,Q2,May,0.91
Culture,Theatre,Q3,April,0.55
Culture,Theatre,Q1,August,6.93
Culture,Theatre,Q2,July,12.0
Culture,Theatre,Q3,September,13.18
Culture,Theatre,Q1,March,14.16
Culture,Theatre,Q2,February,13.88
Culture,Theatre,Q3,January,17.24
Culture,Theatre,Q1,May,20.79
Production,Museum,Q2,May,20.37
Production,Museum,Q3,April,22.91
Production,Museum,Q1,August,23.06
Production,Museum,Q2,July,22.69
Production,Museum,Q3,September,30.4
Production,Museum,Q1,March,31.31
Production,Museum,Q2,February,32.27
Production,Museum,Q3,January,31.96
Production,Museum,Q1,May,34.51
Service,Factory,Q2,May,35.23
Service,Factory,Q3,April,39.33
Service,Factory,Q1,August,39.15
Service,Factory,Q2,July,42.16
Service,Factory,Q3,September,43.82
Service,Factory,Q1,March,44.44
Service,Factory,Q2,February,44.93
Service,Factory,Q3,January,47.74
Service,Factory,Q1,May,49.53
Culture,Workshop,Q2,May,52.54
Culture,Workshop,Q3,April,53.61
Culture,Workshop,Q1,August,52.62
Culture,Workshop,Q2,July,55.39
Culture,Workshop,Q3,September,56.52
Culture,Workshop,Q1,March,57.75
Culture,Workshop,Q2,February,58.08
Culture,Workshop,Q3,January,59.68
Culture,Workshop,Q1,May,57.96
Production,Library,Q2,May,61.53
Production,Library,Q3,April,59.03
Production,Library,Q1,August,54.14
Production,Library,Q2,July,55.42
Production,Library,Q3,September,66.5
Production,Library,Q1,March,68.82
Production,Library,Q2,February,68.37
Production,Library,Q3,January,68.62
Production,Library,Q1,May,70.02
Service,Administration,Q2,May,68.81
Service,Administration,Q3,April,70.88
Service,Administration,Q1,August,73.37
Service,Administration,Q2,July,76.64
Service,Administration,Q3,September,77.57
Service,Administration,Q1,March,78.18
Service,Administration,Q2,February,77.95
Service,Administration,Q3,January,79.38
Service,Administration,Q1,May,87.12
Culture,School,Q2,May,89.64
Culture,School,Q3,April,91.0
Culture,School,Q1,August,91.57
Culture,School,Q2,July,93.69
Culture,School,Q3,September,91.08
Culture,School,Q1,March,93.75
Culture,School,Q2,February,95.89
Culture,School,Q3,January,91.58
Culture,School,Q1,May,98.3
