Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Concert,Q3,September,Florida,Fort Lauderdale,0.28
Culture,Concert,Q2,July,Florida,Fort Lauderdale,8.33
Culture,Concert,Q3,June,Florida,Fort Lauderdale,14.52
Culture,Concert,Q2,April,Florida,Fort Lauderdale,32.23
Residential,Theatre,Q3,September,Florida,Fort Lauderdale,33.24
Residential,Theatre,Q2,July,Florida,Fort Lauderdale,35.05
Residential,Theatre,Q3,June,Florida,Fort Lauderdale,38.38
Residential,Theatre,Q2,April,Florida,Fort Lauderdale,43.29
Production,Apartment,Q3,September,Florida,Fort Lauderdale,47.73
Production,Apartment,Q2,July,Florida,Fort Lauderdale,48.59
Production,Apartment,Q3,June,Florida,Fort Lauderdale,49.96
Production,Apartment,Q2,April,Florida,Fort Lauderdale,54.36
Culture,Hotel,Q3,September,Florida,Fort Lauderdale,54.48
Culture,Hotel,Q2,July,Florida,Fort Lauderdale,57.39
Culture,Hotel,Q3,June,Florida,Fort Lauderdale,60.51
Culture,Hotel,Q2,April,Florida,Fort Lauderdale,66.47
Residential,House,Q3,September,Florida,Fort Lauderdale,71.55
Residential,House,Q2,July,Florida,Fort Lauderdale,72.26
Residential,House,Q3,June,Florida,Fort Lauderdale,73.42
Residential,House,Q2,April,Florida,Fort Lauderdale,76.37
Production,Workshop,Q3,September,Florida,Fort Lauderdale,78.52
Production,Workshop,Q2,July,Florida,Fort Lauderdale,79.38
Production,Workshop,Q3,June,Florida,Fort Lauderdale,79.97
Production,Workshop,Q2,April,Florida,Fort Lauderdale,84.4
Culture,Factory,Q3,September,Florida,Fort Lauderdale,91.21
Culture,Factory,Q2,July,Florida,Fort Lauderdale,93.74
Culture,Factory,Q3,June,Florida,Fort Lauderdale,96.95
Culture,Factory,Q2,April,Florida,Fort Lauderdale,99.28
