Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Humidity,High,0.86
2019,Temperature,Medium,26.37
2019,Humidity,0-10,4.67
2019,Temperature,21-30,5.67
2019,Humidity,11-20,5.64
2019,Temperature,High,8.96
2016,Humidity,High,10.03
2016,Temperature,Medium,15.12
2016,Humidity,0-10,16.3
2016,Temperature,21-30,17.81
2016,Humidity,11-20,15.63
2016,Temperature,High,19.65
2018,Humidity,High,20.95
2018,Temperature,Medium,19.16
2018,Humidity,0-10,21.58
2018,Temperature,21-30,24.04
2018,Humidity,11-20,24.69
2018,Temperature,High,26.86
