Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Apartment,Q1,March,1.67
Residential,Apartment,Q3,February,1.55
Residential,Apartment,Q2,July,2.38
Residential,Apartment,Q1,August,6.17
Residential,Apartment,Q3,September,8.48
Residential,Apartment,Q2,April,8.65
Residential,Apartment,Q1,June,10.29
Residential,Apartment,Q3,May,11.73
Residential,Apartment,Q2,March,16.3
Culture,Hotel,Q1,March,17.9
Culture,Hotel,Q3,February,18.68
Culture,Hotel,Q2,July,18.61
Culture,Hotel,Q1,August,20.89
Culture,Hotel,Q3,September,21.34
Culture,Hotel,Q2,April,22.04
Culture,Hotel,Q1,June,19.57
Culture,Hotel,Q3,May,24.84
Culture,Hotel,Q2,March,22.33
Service,Concert,Q1,March,27.88
Service,Concert,Q3,February,28.01
Service,Concert,Q2,July,34.37
Service,Concert,Q1,August,34.01
Service,Concert,Q3,September,35.97
Service,Concert,Q2,April,37.71
Service,Concert,Q1,June,41.62
Service,Concert,Q3,May,43.64
Service,Concert,Q2,March,44.74
Residential,Museum,Q1,March,45.68
Residential,Museum,Q3,February,46.92
Residential,Museum,Q2,July,47.34
Residential,Museum,Q1,August,48.99
Residential,Museum,Q3,September,49.63
Residential,Museum,Q2,April,49.38
Residential,Museum,Q1,June,53.95
Residential,Museum,Q3,May,58.56
Residential,Museum,Q2,March,59.5
Culture,School,Q1,March,61.75
Culture,School,Q3,February,62.22
Culture,School,Q2,July,64.44
Culture,School,Q1,August,65.99
Culture,School,Q3,September,66.36
Culture,School,Q2,April,67.71
Culture,School,Q1,June,64.41
Culture,School,Q3,May,78.42
Culture,School,Q2,March,81.76
Service,Library,Q1,March,86.22
Service,Library,Q3,February,88.95
Service,Library,Q2,July,88.97
Service,Library,Q1,August,88.35
Service,Library,Q3,September,93.62
Service,Library,Q2,April,94.06
Service,Library,Q1,June,95.35
Service,Library,Q3,May,98.42
Service,Library,Q2,March,98.88
