Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,Apartment,Q2,June,Illinois,Springfield,9.93
Residential,Apartment,Q3,April,Maryland,Champaign,10.03
Residential,Apartment,Q2,May,Illinois,Aberdeen,15.27
Residential,Apartment,Q3,September,Maryland,Springfield,17.66
Residential,Apartment,Q2,July,Illinois,Champaign,35.75
Residential,Apartment,Q3,August,Maryland,Aberdeen,35.02
Service,House,Q2,June,Illinois,Springfield,41.12
Service,House,Q3,April,Maryland,Champaign,58.45
Service,House,Q2,May,Illinois,Aberdeen,59.47
Service,House,Q3,September,Maryland,Springfield,62.19
Service,House,Q2,July,Illinois,Champaign,62.31
Service,House,Q3,August,Maryland,Aberdeen,69.76
Residential,Hospital,Q2,June,Illinois,Springfield,75.89
Residential,Hospital,Q3,April,Maryland,Champaign,79.56
Residential,Hospital,Q2,May,Illinois,Aberdeen,80.01
Residential,Hospital,Q3,September,Maryland,Springfield,82.52
Residential,Hospital,Q2,July,Illinois,Champaign,83.19
Residential,Hospital,Q3,August,Maryland,Aberdeen,85.99
Service,Administration,Q2,June,Illinois,Springfield,88.67
Service,Administration,Q3,April,Maryland,Champaign,91.79
Service,Administration,Q2,May,Illinois,Aberdeen,95.12
Service,Administration,Q3,September,Maryland,Springfield,96.89
Service,Administration,Q2,July,Illinois,Champaign,96.2
Service,Administration,Q3,August,Maryland,Aberdeen,95.59
