Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Humidity,Medium,0.86
2015,Temperature,High,1.5
2015,Wind,0-10,4.98
2015,Humidity,21-30,5.56
2015,Temperature,Storm,6.35
2015,Wind,Breeze,8.07
2019,Humidity,Medium,9.7
2019,Temperature,High,10.35
2019,Wind,0-10,11.61
2019,Humidity,21-30,15.84
2019,Temperature,Storm,17.23
2019,Wind,Breeze,18.31
2016,Humidity,Medium,19.1
2016,Temperature,High,19.48
2016,Wind,0-10,21.68
2016,Humidity,21-30,23.7
2016,Temperature,Storm,24.48
2016,Wind,Breeze,26.98
