Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Temperature,0-10,1.19
2016,Humidity,31-40,2.4
2016,Temperature,21-30,4.53
2016,Humidity,Medium,4.42
2016,Temperature,Low,6.76
2016,Humidity,0-10,7.08
2022,Temperature,0-10,9.25
2022,Humidity,31-40,9.19
2022,Temperature,21-30,12.96
2022,Humidity,Medium,15.18
2022,Temperature,Low,17.56
2022,Humidity,0-10,23.56
2018,Temperature,0-10,21.47
2018,Humidity,31-40,20.61
2018,Temperature,21-30,23.38
2018,Humidity,Medium,21.66
2018,Temperature,Low,23.26
2018,Humidity,0-10,23.12
