Polluted element,Type of pollution,Minnesota_Portland_2022,Minnesota_Redmond_2018,Minnesota_Rochester_2016,Oregon_Minneapolis_2018,Oregon_Salem_2016,Average
Air,Chemical,62.71,-36.25,-97.40,-80.83,75.78,-15.20
,Industrial,60.41,-42.76,25.07,45.33,-56.33,6.34
,Inorganic Fertilizers,-59.12,-3.42,41.16,57.43,81.98,23.61
,Thermal,65.39,-14.50,36.84,49.31,-48.47,17.71
Soil,Inorganic Fertilizers,57.88,84.79,4.02,-86.74,-65.55,-1.12
,Noise,-68.47,-11.33,36.14,50.83,-47.42,-8.05
,Oxygen-depletion,-64.50,-22.48,32.59,48.90,-51.95,-11.49
,Solid Waste,61.66,88.77,27.13,46.52,73.64,59.54
Water,Groundwater,65.96,-16.54,33.12,47.73,78.84,41.82
,Light,65.60,-7.88,-90.22,56.77,81.66,21.19
,Surface water,-68.43,91.92,-99.30,-83.64,73.72,-17.15
,Urban Activities,-70.08,-45.11,8.56,-86.17,71.38,-24.28
